group,new_package,old_pool,date,new_spend,old_pool_spend,new_cpa,old_pool_cpa,daily_saving_by_cpa,new_cpi,old_pool_cpi,new_sub_rate,old_pool_sub_rate,new_gross_after_roi,old_pool_gross_after_roi,lead_days,lead_rmape,lead_overlap_days,cpa_advantage_days,cpa_advantage_until_day,cpa_avg_advantage,cpi_advantage_days,cpi_advantage_until_day,cpi_avg_advantage,cost_lead_days,lead_period_saving,lead_period_new_gross,lead_period_new_spend,lead_period_new_roi,new_installs,old_pool_installs,new_subs,old_pool_subs,new_gross_after,old_pool_gross_after
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-05-18,0.0,23735.2,,2.5508006448146157,,,0.14508866624692068,,0.05687965719385541,,0.8821564596043008,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,0.0,163591.0,0.0,9305.0,0.0,20938.16
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-05-19,141.28,29788.97,6.142608695652174,2.611235098176718,-81.2215927419355,0.10289876183539694,0.13884459960195575,0.016751638747268753,0.053172002666057636,-0.2046291053227633,0.8399390781218685,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,1373.0,214549.0,23.0,11408.0,-28.909999999999997,25020.92
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-05-20,753.12,31515.48,2.0029787234042553,2.700555269922879,262.28878149100257,0.11440376727935592,0.14569253172456834,0.05711681604131855,0.053949102004021914,1.4114483747609943,0.7792408682971035,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,6583.0,216315.0,376.0,11670.0,1062.99,24558.149999999998
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-05-21,1639.02,33830.52,2.0462172284644193,2.830532128514056,628.236234939759,0.12758991125642224,0.14887900191431777,0.062354040168145726,0.05259753119017757,1.3661822308452614,0.6985426177309719,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,12846.0,227235.0,801.0,11952.0,2239.2000000000003,23632.059999999998
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-05-22,2729.32,34424.869999999995,2.4004573438874233,2.8982042431385753,565.9382244485598,0.1280529229614338,0.15346732705047386,0.05334521910481374,0.05295255757554143,1.0109111427022115,0.6589613846036311,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,21314.0,224314.0,1137.0,11878.0,2759.1,22684.66
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-05-23,3244.14,31942.41,2.3440317919075144,2.957082947602296,848.4627994815776,0.14575163985982567,0.15420016509855225,0.062179890376493845,0.052146039807095375,1.044615830389564,0.6256919875488418,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,22258.0,207149.0,1384.0,10802.0,3388.88,19986.11
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-05-24,4087.79,36711.55,2.608672622846203,3.1190781648258286,799.8054842820734,0.1900148747269093,0.1774593591237136,0.07283967833403059,0.05689480985918897,0.8417604622546657,0.5426679069666086,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,21513.0,206873.0,1567.0,11770.0,3440.94,19922.18
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-05-25,5302.67,34233.79,2.751774779449922,3.278470599502011,1014.9428452403756,0.17404063279506368,0.17331633944573263,0.06324668504660627,0.05286499731675459,0.7467219344217159,0.4717429767489956,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,30468.0,197522.0,1927.0,10442.0,3959.62,16149.55
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-05-26,5133.99,31169.809999999998,2.672561166059344,3.0839823884436526,790.3401682002567,0.16658522340114865,0.1675480957884269,0.062331678510010056,0.05432848657510683,0.7974927882602031,0.5612847816525028,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,30819.0,186035.0,1921.0,10107.0,4094.32,17495.14
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-05-27,5854.24,31500.739999999998,2.8213204819277107,3.107194712961136,593.1890293943578,0.17696148963182395,0.17369177326863697,0.06272293089897829,0.05589986766651963,0.7080543332695619,0.55025024808941,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,33082.0,181360.0,2075.0,10138.0,4145.12,17333.29
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-05-28,6399.1900000000005,31249.25,2.726540264167022,2.934477415719786,488.0284946943369,0.18704518882263535,0.1691059088375516,0.06860166023617444,0.057627265397124317,0.7604603082577638,0.6403830491931806,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,34212.0,184791.0,2347.0,10649.0,4866.33,20011.489999999998
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-05-29,6510.71,17061.77,2.8381473408892766,3.208305754042873,849.1433997743508,0.196040769624522,0.2047641735874418,0.0690734997440607,0.06382314819259757,0.6922163634995261,0.4998584554826376,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,33211.0,83324.0,2294.0,5318.0,4506.82,8528.470000000001
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-05-30,6601.76,22029.42,3.0563703703703706,3.2718580127729093,465.4533075894836,0.21767871274070166,0.20917647058823527,0.07122131363756265,0.06393201348335945,0.5731774557087806,0.47162884905730607,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,30328.0,105315.0,2160.0,6733.0,3783.98,10389.71
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-05-31,7458.78,25993.260000000002,3.1352585119798233,3.1618124315776672,63.171774723270694,0.19670297212479232,0.18330930888575458,0.06273899628154751,0.05797602256699577,0.5354173202588091,0.5223607966065049,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,37919.0,141800.0,2379.0,8221.0,3993.56,13577.86
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-06-01,6437.3099999999995,21094.66,2.996885474860335,3.155521316379955,340.7497875841439,0.19103510698281745,0.18051223686462434,0.06374454699231386,0.05720520280677734,0.6055541833467707,0.5262132691401521,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,33697.0,116860.0,2148.0,6685.0,3898.14,11100.29
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-06-02,6309.95,21004.65,2.9568650421743206,2.996811242687973,85.24519189613419,0.18296073996752493,0.16329384052055881,0.061876594757596846,0.05448919778280508,0.6252775378568769,0.6078254100877662,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,34488.0,128631.0,2134.0,7009.0,3945.4700000000003,12767.16
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-06-03,5814.14,19549.95,2.933471241170535,3.1145371992990283,358.8727290106736,0.19107861180491653,0.17127144183764653,0.06513737347180229,0.05499097646873303,0.6418576092078966,0.5452003713564484,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,30428.0,114146.0,1982.0,6277.0,3731.85,10658.64
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-06-04,5143.0,17688.76,2.8958333333333335,3.164923957774199,477.9049490069772,0.18446915351506457,0.1710149467293153,0.06370157819225251,0.05403445675503219,0.6623916002333268,0.5252985511703478,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,27880.0,103434.0,1776.0,5589.0,3406.68,9291.880000000001
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-06-05,5288.72,16979.72,2.7689633507853406,2.9463335068540695,338.7769980912721,0.18983883125740336,0.16839447403131913,0.06855953192864066,0.05715390794680313,0.7355163442193953,0.6333797023743619,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,27859.0,100833.0,1910.0,5763.0,3889.94,10754.61
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-06-06,5664.24,16938.33,3.053498652291105,3.137889959244165,156.54587439792624,0.18610329872519385,0.16363006684956916,0.060947562097516096,0.052146528072954904,0.5754399531093316,0.5350261802668858,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,30436.0,103516.0,1855.0,5398.0,3259.4300000000003,9062.45
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-06-07,5531.19,16999.95,3.206486956521739,3.3999900000000003,333.7927500000006,0.18011625256439479,0.1572293335306413,0.056172457585724055,0.04624405763859344,0.5006951487835348,0.4175759340468648,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,30709.0,108122.0,1725.0,5000.0,2769.44,7098.77
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-06-08,5467.68,15215.49,3.46714013950539,3.299108846487424,-264.98534908933226,0.1862225401042199,0.15694647590951757,0.053710704676271245,0.04757238491134331,0.4022108097035671,0.4623465954760576,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,29361.0,96947.0,1577.0,4612.0,2199.16,7034.83
Zikzik vs CoupleLens / Dradra / Usgen,Zikzik,CoupleLens / Dradra / Usgen,2026-06-09,985.01,3373.92,3.8933201581027665,3.8253061224489797,-17.20755102040807,0.19317709354775445,0.15791069924178602,0.04961757207295548,0.041280539174389216,0.2403528898183775,0.26844145682173853,-6.0,0.062453148917734375,16.0,16.0,20,0.126675101429242,5.0,5,0.1674076258709938,20.0,9379.667231504598,67112.9,96044.56000000001,0.6987683633513443,5099.0,21366.0,253.0,882.0,236.75,905.7
Beyo vs Minimix / Vimi / Viyo / CoupleLens,Beyo,Minimix / Vimi / Viyo / CoupleLens,2026-03-07,7.7,16018.18,1.1,2.179344217687075,7.555409523809525,0.027402135231316727,0.12082262249577601,0.02491103202846975,0.05543989862418537,3.327272727272727,1.1962033139844852,-3.0,0.16490480936935065,38.0,17.0,19,0.30697658649832893,18.0,19,0.24680967997117978,19.0,17116.585428086008,142270.16000000003,92204.85,1.5429791382991245,281.0,132576.0,7.0,7350.0,25.62,19161.0
Beyo vs Minimix / Vimi / Viyo / CoupleLens,Beyo,Minimix / Vimi / Viyo / CoupleLens,2026-03-08,0.0,18063.64,0.0,2.58199542595769,2.58199542595769,0.0,0.13637052695153254,0.1,0.05281594443605617,,0.8576128620809539,-3.0,0.16490480936935065,38.0,17.0,19,0.30697658649832893,18.0,19,0.24680967997117978,19.0,17116.585428086008,142270.16000000003,92204.85,1.5429791382991245,10.0,132460.0,1.0,6996.0,4.73,15491.61
Beyo vs Minimix / Vimi / Viyo / CoupleLens,Beyo,Minimix / Vimi / Viyo / CoupleLens,2026-03-09,17.73,14776.03,1.2664285714285715,2.6166159022489817,18.90262263148574,0.04897790055248619,0.14135142633018924,0.03867403314917127,0.05402070139858802,2.7619853355893964,0.8338897525248662,-3.0,0.16490480936935065,38.0,17.0,19,0.30697658649832893,18.0,19,0.24680967997117978,19.0,17116.585428086008,142270.16000000003,92204.85,1.5429791382991245,362.0,104534.0,14.0,5647.0,48.97,12321.58
Beyo vs Minimix / Vimi / Viyo / CoupleLens,Beyo,Minimix / Vimi / Viyo / CoupleLens,2026-03-10,802.0,13768.349999999999,1.389948006932409,2.4634728931830376,619.4238593666126,0.0985621236327885,0.1364811014958218,0.07091065503256729,0.05540190918012312,2.4524189526184537,0.9465585927144502,-3.0,0.16490480936935065,38.0,17.0,19,0.30697658649832893,18.0,19,0.24680967997117978,19.0,17116.585428086008,142270.16000000003,92204.85,1.5429791382991245,8137.0,100881.0,577.0,5589.0,1966.84,13032.55
Beyo vs Minimix / Vimi / Viyo / CoupleLens,Beyo,Minimix / Vimi / Viyo / CoupleLens,2026-03-11,1672.74,14982.39,1.5677038425492034,3.018209105560032,1547.6891156325541,0.11185155466399198,0.15242115650687718,0.07134737545971247,0.05050052901440547,2.0457094348195177,0.5948463496144475,-3.0,0.16490480936935065,38.0,17.0,19,0.30697658649832893,18.0,19,0.24680967997117978,19.0,17116.585428086008,142270.16000000003,92204.85,1.5429791382991245,14955.0,98296.0,1067.0,4964.0,3421.94,8912.220000000001
Beyo vs Minimix / Vimi / Viyo / CoupleLens,Beyo,Minimix / Vimi / Viyo / CoupleLens,2026-03-12,2068.51,8981.27,1.6261871069182392,2.503838862559242,1116.3730331753554,0.11819381749614309,0.13725693064767552,0.07268156105365407,0.05481859583702662,1.9391300984766808,0.9148171695094345,-3.0,0.16490480936935065,38.0,17.0,19,0.30697658649832893,18.0,19,0.24680967997117978,19.0,17116.585428086008,142270.16000000003,92204.85,1.5429791382991245,17501.0,65434.0,1272.0,3587.0,4011.1099999999997,8216.22
Beyo vs Minimix / Vimi / Viyo / CoupleLens,Beyo,Minimix / Vimi / Viyo / CoupleLens,2026-03-13,3062.1499999999996,8018.77,1.5166666666666664,2.179013586956522,1337.2784320652183,0.12276098460551635,0.1421440093595448,0.08094130853110969,0.06523319093116835,2.1489443691523933,1.1969441697417433,-3.0,0.16490480936935065,38.0,17.0,19,0.30697658649832893,18.0,19,0.24680967997117978,19.0,17116.585428086008,142270.16000000003,92204.85,1.5429791382991245,24944.0,56413.0,2019.0,3680.0,6580.39,9598.02
Beyo vs Minimix / Vimi / Viyo / CoupleLens,Beyo,Minimix / Vimi / Viyo / CoupleLens,2026-03-14,3312.61,7005.6900000000005,1.4848095024652623,2.08192867756315,1332.1728796433874,0.14049580117058275,0.1541914823374051,0.0946221053524472,0.07406184659403543,2.2118057966376963,1.299757768328316,-3.0,0.16490480936935065,38.0,17.0,19,0.30697658649832893,18.0,19,0.24680967997117978,19.0,17116.585428086008,142270.16000000003,92204.85,1.5429791382991245,23578.0,45435.0,2231.0,3365.0,7326.849999999999,9105.7
Beyo vs Minimix / Vimi / Viyo / CoupleLens,Beyo,Minimix / Vimi / Viyo / CoupleLens,2026-03-15,4518.62,8329.5,1.5511912118091313,2.2217924779941316,1953.4614883969057,0.1299686484309834,0.15746937386569873,0.08378634912416948,0.0708749243799153,2.0754323222576807,1.154718770634492,-3.0,0.16490480936935065,38.0,17.0,19,0.30697658649832893,18.0,19,0.24680967997117978,19.0,17116.585428086008,142270.16000000003,92204.85,1.5429791382991245,34767.0,52896.0,2913.0,3749.0,9378.09,9618.23
Beyo vs Minimix / Vimi / Viyo / CoupleLens,Beyo,Minimix / Vimi / Viyo / CoupleLens,2026-03-16,5150.12,7185.139999999999,1.7839002424662278,2.2889901242433894,1458.1944886906656,0.1352518514627869,0.15990074552130853,0.07581805767109617,0.06985645933014355,1.6795783399221764,1.0928485735838134,-3.0,0.16490480936935065,38.0,17.0,19,0.30697658649832893,18.0,19,0.24680967997117978,19.0,17116.585428086008,142270.16000000003,92204.85,1.5429791382991245,38078.0,44935.0,2887.0,3139.0,8650.029999999999,7852.27
Beyo vs Minimix / Vimi / Viyo / CoupleLens,Beyo,Minimix / Vimi / Viyo / CoupleLens,2026-03-17,6495.54,6612.35,1.8954012255617159,2.2927704576976424,1361.7843585298203,0.14221526470201865,0.1633929674565717,0.07503174672680299,0.07126442462131508,1.5217780199952584,1.08878840351766,-3.0,0.16490480936935065,38.0,17.0,19,0.30697658649832893,18.0,19,0.24680967997117978,19.0,17116.585428086008,142270.16000000003,92204.85,1.5429791382991245,45674.0,40469.0,3427.0,2884.0,9884.77,7199.45
Beyo vs Minimix / Vimi / Viyo / CoupleLens,Beyo,Minimix / Vimi / Viyo / CoupleLens,2026-03-18,7106.14,7079.15,1.9164347357065805,2.2843336560180703,1364.169196515004,0.13463188208101248,0.15010601980449947,0.07025122200750256,0.06571107482877801,1.4951703737894273,1.1057669352959043,-3.0,0.16490480936935065,38.0,17.0,19,0.30697658649832893,18.0,19,0.24680967997117978,19.0,17116.585428086008,142270.16000000003,92204.85,1.5429791382991245,52782.0,47161.0,3708.0,3099.0,10624.890000000001,7827.89
Beyo vs Minimix / Vimi / Viyo / CoupleLens,Beyo,Minimix / Vimi / Viyo / CoupleLens,2026-03-19,8295.13,8467.29,1.9299976733364355,2.163887043189369,1005.2565116279078,0.1110622715527052,0.12994812688960852,0.05754528779338323,0.06005310087631793,1.4795150889738922,1.2145704233585952,-3.0,0.16490480936935065,38.0,17.0,19,0.30697658649832893,18.0,19,0.24680967997117978,19.0,17116.585428086008,142270.16000000003,92204.85,1.5429791382991245,74689.0,65159.0,4298.0,3913.0,12272.77,10284.12
Beyo vs Minimix / Vimi / Viyo / CoupleLens,Beyo,Minimix / Vimi / Viyo / CoupleLens,2026-03-20,7464.04,8239.960000000001,1.9877603195739015,2.1122686490643425,467.52877723660595,0.11534422277510778,0.12678226885972338,0.05802722875554388,0.06002184850676227,1.4074603029994481,1.266864159534755,-3.0,0.16490480936935065,38.0,17.0,19,0.30697658649832893,18.0,19,0.24680967997117978,19.0,17116.585428086008,142270.16000000003,92204.85,1.5429791382991245,64711.0,64993.0,3755.0,3901.0,10505.34,10438.91
Beyo vs Minimix / Vimi / Viyo / CoupleLens,Beyo,Minimix / Vimi / Viyo / CoupleLens,2026-03-21,6516.85,7471.2,1.7318230135530164,1.8952815829528158,615.0945966514452,0.10965958807296225,0.11890567058711186,0.06332032038769604,0.06273773335667564,1.7572646293838279,1.5216203554984473,-3.0,0.16490480936935065,38.0,17.0,19,0.30697658649832893,18.0,19,0.24680967997117978,19.0,17116.585428086008,142270.16000000003,92204.85,1.5429791382991245,59428.0,62833.0,3763.0,3942.0,11451.83,11368.33
